"ID" "CustomerID" "ReceivedAt" "DeviceReportedTime" "Facility" "Priority" "FromHost" "Message" "NTSeverity" "Importance" "EventSource" "EventUser" "EventCategory" "EventID" "EventBinaryData" "MaxAvailable" "CurrUsage" "MinUsage" "MaxUsage" "InfoUnitID" "SysLogTag" "EventLogType" "GenericFileName" "SystemID" "processid" "checksum"
"55" 49841425 NA "2015-12-09 00:00:37" "2015-12-09 00:00:54" 20 4 "sc034" " 00:00:54.304 20004 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 27500" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"56" 49841426 NA "2015-12-09 00:00:37" "2015-12-09 00:00:54" 20 4 "sc034" " 00:00:54.304 20004 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 850" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"57" 49841427 NA "2015-12-09 00:00:37" "2015-12-09 00:00:54" 20 4 "sc034" " 00:00:54.304 20004 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 6" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"58" 49841429 NA "2015-12-09 00:00:38" "2015-12-09 00:00:03" 20 4 "KR-03" " 00:00:03.191 4948 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 112510" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"59" 49841430 NA "2015-12-09 00:00:38" "2015-12-09 00:00:03" 20 4 "KR-03" " 00:00:03.192 4948 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 1307" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"60" 49841431 NA "2015-12-09 00:00:38" "2015-12-09 00:00:03" 20 4 "KR-03" " 00:00:03.193 4948 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"61" 49841436 NA "2015-12-09 00:00:40" "2015-12-09 00:00:34" 20 4 "ucs01" " 00:00:34.951 8224 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"62" 49841437 NA "2015-12-09 00:00:41" "2015-12-09 00:00:35" 20 4 "ucs01" " 00:00:35.367 8224 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 31689" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"63" 49841438 NA "2015-12-09 00:00:41" "2015-12-09 00:00:35" 20 4 "ucs01" " 00:00:35.368 8224 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 500" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"64" 49841439 NA "2015-12-09 00:00:41" "2015-12-09 00:00:35" 20 4 "ucs01" " 00:00:35.369 8224 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
